timestamp,throttle_cmd,steering_cmd,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw
2025-10-01 11:16:13,0.0,0.0,1100,1500
2025-10-01 11:16:13,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:13,0.0,0.0,1100,1500
2025-10-01 11:16:13,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:13,0.0,0.0,1100,1500
2025-10-01 11:16:13,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:13,0.0,0.0,1100,1500
2025-10-01 11:16:13,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:13,0.0,0.0,1100,1500
2025-10-01 11:16:13,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:13,0.0,0.0,1100,1500
2025-10-01 11:16:13,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:13,0.0,0.0,1100,1500
2025-10-01 11:16:13,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:13,0.0,0.0,1100,1500
2025-10-01 11:16:13,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:13,0.0,0.0,1100,1500
2025-10-01 11:16:13,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:14,0.0,0.0,1100,1500
2025-10-01 11:16:14,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
2025-10-01 11:16:15,0.0,0.0,1100,1100,999,1100,999,999,0,0
2025-10-01 11:16:15,0.0,0.0,1100,1500
