model,prompts,mean_ms,std_ms
CLIPSeg,1,4.704364749977685,0.7131704201540209
CLIPSeg,2,5.006994300038059,1.750034805673219
CLIPSeg,3,4.95931314999325,0.9983095352052771
CLIPSeg,4,4.886323499886203,0.6271990970230927
CLIPSeg,5,5.119601899878035,1.1213744143970417
CLIPSeg,6,5.488125450210646,1.5300803948913484
CLIPSeg,7,5.5977047499254695,1.0962048295806384
CLIPSeg,8,6.239466800161608,1.6365446794717189
CLIPSeg,9,5.995521399927384,0.7894773099323675
CLIPSeg,10,6.061632900218683,0.6395978119821928
SAM3-1008,1,189.36861594975198,7.93407345930415
SAM3-1008,2,217.6320408502761,9.799395191676739
SAM3-1008,3,245.82811440022851,9.78723660880423
SAM3-1008,4,266.4888595998491,6.549580187159596
SAM3-1008,5,298.37865590006913,10.869812214031203
SAM3-1008,6,325.15497404992857,11.542280245685468
SAM3-1008,7,342.1182988502551,1.9347623283837967
SAM3-1008,8,400.073689099645,10.244949813801188
SAM3-1008,9,415.1304498497666,15.433591915682994
SAM3-1008,10,413.76493459983976,9.896475722529594
SAM3-560,1,79.09933195023768,9.697472323803893
SAM3-560,2,87.75406259965166,9.120510197474783
SAM3-560,3,101.95946065005046,19.619176083152524
SAM3-560,4,108.24940929996956,8.872352326647693
SAM3-560,5,119.20545965012934,10.256866702402226
SAM3-560,6,134.50320180018025,11.759854458458438
SAM3-560,7,139.32382430029975,7.94418046946933
SAM3-560,8,150.96152304995485,9.184037714386902
SAM3-560,9,159.402532400145,9.448837125672538
SAM3-560,10,173.0748876000689,11.34352840895985
Grounded-SAM2,1,129.8867420501665,18.25744342541096
Grounded-SAM2,2,124.83376880009018,14.966686104038939
Grounded-SAM2,3,125.66515900016384,14.527446921827655
Grounded-SAM2,4,123.38376290008455,9.006102015896223
Grounded-SAM2,5,128.43917030031662,16.848479674455554
Grounded-SAM2,6,132.27501029969062,17.855628386857173
Grounded-SAM2,7,128.51505569997244,15.62384701635455
Grounded-SAM2,8,131.39699434996146,14.466397169802331
Grounded-SAM2,9,133.21096500003478,13.523906835064935
Grounded-SAM2,10,130.52595750014007,15.819881236601654
OWLv2-SAM2,1,37.8859586498038,13.316352694946435
OWLv2-SAM2,2,39.88939475002553,13.403138127762109
OWLv2-SAM2,3,36.66617780017987,9.658689758087482
OWLv2-SAM2,4,36.193536699738615,9.730278532907908
OWLv2-SAM2,5,35.57913844997529,7.338427163665063
OWLv2-SAM2,6,37.33110610019139,11.364320262616134
OWLv2-SAM2,7,39.95981650004978,14.600050679095753
OWLv2-SAM2,8,35.83202009986053,9.91965193122176
OWLv2-SAM2,9,36.34551115001159,9.107395641357284
OWLv2-SAM2,10,41.60819404978611,16.25018294668655
